# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.02786 0.05953 0.28526 -0.28661 0.00211 0.02110 -0.07045 0.00850
-5.5 0.02341 0.05935 0.25355 -0.25463 0.00100 0.02205 -0.05994 0.00690
-5.0 0.01938 0.05917 0.22183 -0.22267 0.00003 0.02300 -0.05055 0.00530
-4.5 0.01577 0.05897 0.19011 -0.19076 -0.00081 0.02395 -0.04230 0.00371
-4.0 0.01259 0.05878 0.15839 -0.15889 -0.00151 0.02489 -0.03519 0.00211
-3.5 0.00984 0.05858 0.12669 -0.12706 -0.00209 0.02584 -0.02921 0.00051
-3.0 0.00752 0.05837 0.09502 -0.09529 -0.00254 0.02678 -0.02438 -0.00109
-2.5 0.00563 0.05817 0.06339 -0.06358 -0.00286 0.02772 -0.02069 -0.00269
-2.0 0.00417 0.05795 0.03180 -0.03193 -0.00306 0.02866 -0.01814 -0.00429
-1.5 0.00314 0.05773 0.00027 -0.00036 -0.00313 0.02959 -0.01674 -0.00589
-1.0 0.00254 0.05751 -0.03119 0.03114 -0.00308 0.03053 -0.01648 -0.00749
-0.5 0.00237 0.05729 -0.06258 0.06256 -0.00291 0.03146 -0.01737 -0.00909
0.0 0.00263 0.05705 -0.09389 0.09389 -0.00263 0.03238 -0.01941 -0.01068
0.5 0.00332 0.05682 -0.12510 0.12512 -0.00223 0.03331 -0.02259 -0.01228
1.0 0.00444 0.05658 -0.15620 0.15626 -0.00172 0.03423 -0.02691 -0.01387
1.5 0.00600 0.05634 -0.18720 0.18729 -0.00109 0.03515 -0.03237 -0.01547
2.0 0.00798 0.05609 -0.21807 0.21821 -0.00037 0.03607 -0.03897 -0.01706
2.5 0.01039 0.05584 -0.24881 0.24902 0.00047 0.03699 -0.04672 -0.01865
3.0 0.01323 0.05558 -0.27940 0.27971 0.00141 0.03790 -0.05559 -0.02024
3.5 0.01650 0.05532 -0.30985 0.31028 0.00244 0.03881 -0.06561 -0.02183
4.0 0.02020 0.05505 -0.34013 0.34071 0.00358 0.03972 -0.07675 -0.02342
4.5 0.02432 0.05478 -0.37025 0.37102 0.00480 0.04062 -0.08902 -0.02500
5.0 0.02887 0.05451 -0.40019 0.40118 0.00612 0.04152 -0.10241 -0.02659
5.5 0.03384 0.05423 -0.42994 0.43120 0.00753 0.04242 -0.11692 -0.02817
6.0 0.03923 0.05395 -0.45949 0.46107 0.00902 0.04331 -0.13255 -0.02975
6.5 0.04504 0.05366 -0.48884 0.49079 0.01059 0.04420 -0.14928 -0.03133
7.0 0.05126 0.05337 -0.51797 0.52036 0.01224 0.04509 -0.16712 -0.03290
7.5 0.05791 0.05308 -0.54688 0.54976 0.01397 0.04597 -0.18606 -0.03447
8.0 0.06497 0.05278 -0.57556 0.57900 0.01577 0.04685 -0.20609 -0.03604
8.5 0.07244 0.05248 -0.60399 0.60806 0.01763 0.04773 -0.22721 -0.03761
9.0 0.08032 0.05217 -0.63218 0.63696 0.01957 0.04860 -0.24942 -0.03917
9.5 0.08860 0.05186 -0.66010 0.66568 0.02156 0.04947 -0.27269 -0.04073
10.0 0.09730 0.05155 -0.68776 0.69421 0.02361 0.05034 -0.29703 -0.04229
10.5 0.10639 0.05123 -0.71515 0.72256 0.02572 0.05120 -0.32244 -0.04385
11.0 0.11588 0.05091 -0.74225 0.75073 0.02787 0.05206 -0.34889 -0.04540
11.5 0.12577 0.05058 -0.76906 0.77870 0.03008 0.05291 -0.37639 -0.04695
12.0 0.13606 0.05025 -0.79557 0.80647 0.03232 0.05376 -0.40493 -0.04849
12.5 0.14673 0.04992 -0.82177 0.83405 0.03461 0.05461 -0.43449 -0.05003
13.0 0.15779 0.04958 -0.84766 0.86143 0.03693 0.05545 -0.46507 -0.05157
13.5 0.16924 0.04924 -0.87322 0.88860 0.03929 0.05629 -0.49665 -0.05310
14.0 0.18106 0.04890 -0.89845 0.91556 0.04167 0.05712 -0.52924 -0.05463
14.5 0.19326 0.04855 -0.92334 0.94232 0.04408 0.05795 -0.56282 -0.05615
15.0 0.20584 0.04820 -0.94788 0.96886 0.04651 0.05877 -0.59737 -0.05767
15.5 0.21878 0.04784 -0.97207 0.99518 0.04895 0.05959 -0.63289 -0.05919
16.0 0.23209 0.04748 -0.99590 1.02129 0.05141 0.06041 -0.66937 -0.06070
16.5 0.24576 0.04712 -1.01936 1.04718 0.05387 0.06122 -0.70680 -0.06221
17.0 0.25979 0.04675 -1.04244 1.07284 0.05634 0.06203 -0.74516 -0.06371
17.5 0.27416 0.04638 -1.06513 1.09828 0.05882 0.06283 -0.78445 -0.06521
18.0 0.28889 0.04601 -1.08744 1.12349 0.06129 0.06362 -0.82464 -0.06670
18.5 0.30396 0.04563 -1.10935 1.14847 0.06375 0.06442 -0.86574 -0.06819
19.0 0.31937 0.04525 -1.13086 1.17323 0.06620 0.06520 -0.90772 -0.06967
19.5 0.33512 0.04486 -1.15196 1.19775 0.06863 0.06598 -0.95057 -0.07115
20.0 0.35119 0.04448 -1.17264 1.22203 0.07105 0.06676 -0.99429 -0.07262
20.5 0.36759 0.04408 -1.19289 1.24608 0.07345 0.06753 -1.03885 -0.07408
21.0 0.38431 0.04369 -1.21272 1.26990 0.07581 0.06830 -1.08425 -0.07554
21.5 0.40134 0.04329 -1.23211 1.29347 0.07815 0.06906 -1.13047 -0.07700
22.0 0.41869 0.04289 -1.25106 1.31681 0.08046 0.06982 -1.17749 -0.07845
