# alpha CX CY CZ CL CD Cl Cm Cn
-6.0 0.03737 0.11726 0.27591 -0.27831 -0.00832 0.04156 -0.09447 0.01674
-5.5 0.03301 0.11690 0.24493 -0.24696 -0.00939 0.04344 -0.08419 0.01360
-5.0 0.02907 0.11653 0.21393 -0.21565 -0.01032 0.04531 -0.07502 0.01045
-4.5 0.02555 0.11616 0.18292 -0.18436 -0.01112 0.04717 -0.06695 0.00730
-4.0 0.02244 0.11577 0.15193 -0.15313 -0.01179 0.04903 -0.06000 0.00415
-3.5 0.01976 0.11538 0.12095 -0.12193 -0.01233 0.05089 -0.05416 0.00100
-3.0 0.01749 0.11498 0.09000 -0.09079 -0.01275 0.05275 -0.04944 -0.00215
-2.5 0.01564 0.11456 0.05909 -0.05971 -0.01305 0.05460 -0.04583 -0.00530
-2.0 0.01421 0.11414 0.02822 -0.02870 -0.01322 0.05644 -0.04335 -0.00845
-1.5 0.01320 0.11371 -0.00260 0.00225 -0.01326 0.05829 -0.04198 -0.01160
-1.0 0.01261 0.11328 -0.03334 0.03312 -0.01319 0.06012 -0.04173 -0.01475
-0.5 0.01245 0.11283 -0.06402 0.06391 -0.01301 0.06196 -0.04260 -0.01789
0.0 0.01270 0.11238 -0.09461 0.09461 -0.01270 0.06378 -0.04458 -0.02104
0.5 0.01338 0.11191 -0.12512 0.12523 -0.01229 0.06561 -0.04769 -0.02418
1.0 0.01448 0.11144 -0.15552 0.15574 -0.01176 0.06743 -0.05191 -0.02733
1.5 0.01600 0.11096 -0.18580 0.18616 -0.01113 0.06924 -0.05725 -0.03047
2.0 0.01793 0.11047 -0.21597 0.21647 -0.01039 0.07105 -0.06371 -0.03360
2.5 0.02029 0.10997 -0.24601 0.24666 -0.00954 0.07285 -0.07127 -0.03674
3.0 0.02307 0.10947 -0.27591 0.27674 -0.00860 0.07465 -0.07995 -0.03987
3.5 0.02626 0.10895 -0.30567 0.30670 -0.00755 0.07644 -0.08973 -0.04300
4.0 0.02988 0.10843 -0.33526 0.33653 -0.00642 0.07822 -0.10062 -0.04613
4.5 0.03390 0.10790 -0.36470 0.36623 -0.00519 0.08000 -0.11261 -0.04925
5.0 0.03835 0.10736 -0.39395 0.39580 -0.00387 0.08178 -0.12570 -0.05237
5.5 0.04320 0.10681 -0.42303 0.42522 -0.00246 0.08354 -0.13988 -0.05548
6.0 0.04847 0.10626 -0.45191 0.45450 -0.00097 0.08530 -0.15515 -0.05859
6.5 0.05415 0.10569 -0.48059 0.48363 0.00060 0.08706 -0.17151 -0.06170
7.0 0.06023 0.10512 -0.50906 0.51260 0.00225 0.08881 -0.18894 -0.06480
7.5 0.06673 0.10454 -0.53731 0.54142 0.00398 0.09055 -0.20745 -0.06790
8.0 0.07363 0.10396 -0.56534 0.57008 0.00577 0.09228 -0.22703 -0.07099
8.5 0.08093 0.10336 -0.59312 0.59857 0.00763 0.09401 -0.24767 -0.07407
9.0 0.08863 0.10276 -0.62067 0.62689 0.00956 0.09573 -0.26936 -0.07716
9.5 0.09673 0.10215 -0.64796 0.65504 0.01155 0.09744 -0.29211 -0.08023
10.0 0.10522 0.10153 -0.67499 0.68301 0.01359 0.09915 -0.31590 -0.08330
10.5 0.11411 0.10090 -0.70176 0.71080 0.01569 0.10084 -0.34073 -0.08636
11.0 0.12339 0.10027 -0.72824 0.73841 0.01784 0.10253 -0.36658 -0.08942
11.5 0.13305 0.09963 -0.75444 0.76582 0.02003 0.10421 -0.39345 -0.09246
12.0 0.14310 0.09898 -0.78035 0.79305 0.02227 0.10589 -0.42134 -0.09551
12.5 0.15353 0.09832 -0.80596 0.82008 0.02455 0.10756 -0.45023 -0.09854
13.0 0.16434 0.09765 -0.83125 0.84692 0.02686 0.10921 -0.48011 -0.10157
13.5 0.17553 0.09698 -0.85623 0.87355 0.02921 0.11086 -0.51098 -0.10459
14.0 0.18708 0.09630 -0.88089 0.89998 0.03158 0.11250 -0.54283 -0.10760
14.5 0.19901 0.09562 -0.90521 0.92621 0.03398 0.11414 -0.57564 -0.11060
15.0 0.21129 0.09492 -0.92920 0.95222 0.03640 0.11576 -0.60941 -0.11359
15.5 0.22394 0.09422 -0.95284 0.97803 0.03884 0.11738 -0.64413 -0.11658
16.0 0.23695 0.09351 -0.97612 1.00362 0.04128 0.11898 -0.67978 -0.11956
16.5 0.25031 0.09280 -0.99905 1.02900 0.04374 0.12058 -0.71635 -0.12252
17.0 0.26402 0.09208 -1.02160 1.05416 0.04621 0.12217 -0.75384 -0.12548
17.5 0.27807 0.09135 -1.04379 1.07909 0.04867 0.12374 -0.79223 -0.12843
18.0 0.29246 0.09061 -1.06559 1.10381 0.05114 0.12531 -0.83152 -0.13137
18.5 0.30719 0.08987 -1.08700 1.12830 0.05359 0.12687 -0.87168 -0.13430
19.0 0.32225 0.08912 -1.10802 1.15256 0.05604 0.12842 -0.91270 -0.13722
19.5 0.33764 0.08836 -1.12863 1.17660 0.05847 0.12996 -0.95459 -0.14013
20.0 0.35335 0.08760 -1.14884 1.20041 0.06089 0.13149 -0.99731 -0.14303
20.5 0.36937 0.08682 -1.16864 1.22399 0.06329 0.13301 -1.04086 -0.14591
21.0 0.38571 0.08605 -1.18802 1.24734 0.06565 0.13452 -1.08522 -0.14879
21.5 0.40236 0.08526 -1.20697 1.27045 0.06799 0.13602 -1.13039 -0.15165
22.0 0.41931 0.08447 -1.22549 1.29333 0.07030 0.13751 -1.17634 -0.15451
